Ticker,Date,EPS Estimate,EPS Reported,Surprise%
AAPL,2026-01-29,2.67,2.84,6.367
GOOGL,2026-02-04,2.64,2.82,6.8182
GOOG,2026-02-04,2.64,2.82,6.8182
TSLA,2026-01-28,0.34,0.24,-29.4118
MSFT,2026-01-28,3.92,4.14,5.6122
NVDA,2026-02-25,1.54,1.62,5.1948
AMZN,2026-02-05,1.95,1.95,0.0
AVGO,2026-03-04,1.42,1.5,5.6338
META,2026-01-28,8.18,8.88,8.5575
MU,2026-03-18,9.16,12.2,33.1878
LLY,2026-02-04,6.91,7.54,9.1172
V,2026-01-29,3.14,3.17,0.9554
AMD,2026-02-03,1.32,1.53,15.9091
JPM,2026-01-13,4.82,4.63,-3.9419
XOM,2026-01-30,1.66,1.53,-7.8313
JNJ,2026-01-21,2.46,2.46,0.0
INTC,2026-01-22,-0.09,-0.12,-33.3333
WMT,2026-02-19,0.73,0.74,1.3699
CAT,2026-01-29,4.71,5.16,9.5541
NFLX,2026-01-20,0.55,0.56,1.8182
CSCO,2026-02-11,1.02,1.04,1.9608
ABBV,2026-02-04,2.87,1.02,-64.4599
COST,2026-03-05,4.55,4.58,0.6593
MA,2026-01-29,4.24,4.76,12.2642
UNH,2026-01-27,2.11,2.11,0.0
LRCX,2026-01-28,1.17,1.27,8.547
CVX,2026-01-30,1.44,1.52,5.5556
AMAT,2026-02-12,2.15,2.54,18.1395
GE,2026-01-22,1.43,1.57,9.7902
BAC,2026-01-14,0.95,0.98,3.1579
PG,2026-01-22,1.83,1.78,-2.7322
ORCL,2026-03-10,1.23,1.27,3.252
HD,2026-02-24,2.52,2.72,7.9365
KO,2026-02-10,0.54,0.53,-1.8519
PM,2026-02-06,1.7,1.7,0.0
GEV,2026-01-28,3.14,12.91,311.1465
GS,2026-01-15,11.76,14.01,19.1327
MRK,2026-02-03,2.01,2.04,1.4925
RTX,2026-01-27,1.47,1.55,5.4422
PLTR,2026-02-02,0.23,0.25,8.6957
TXN,2026-01-27,1.31,1.27,-3.0534
QCOM,2026-02-04,2.75,2.78,1.0909
KLAC,2026-01-29,8.8,8.85,0.5682
LIN,2026-02-05,4.18,4.2,0.4785
WFC,2026-01-14,1.67,1.62,-2.994
SNDK,2026-01-29,3.54,6.2,75.1412
IBM,2026-01-28,4.29,4.52,5.3613
ADI,2026-02-18,1.64,1.69,3.0488
MS,2026-01-15,2.42,2.68,10.7438
PEP,2026-02-03,2.24,2.26,0.8929
VZ,2026-01-30,1.06,1.09,2.8302
NEE,2026-01-27,0.53,0.54,1.8868
C,2026-01-14,1.62,1.24,-23.4568
BA,2026-01-27,-0.42,9.92,2461.9048
DIS,2026-02-02,1.58,1.63,3.1646
MCD,2026-02-11,3.05,3.12,2.2951
WDC,2026-01-29,1.93,2.13,10.3627
AMGN,2026-02-03,2.41,2.45,1.6598
TMO,2026-01-29,6.45,6.57,1.8605
T,2026-01-28,0.47,0.52,10.6383
PANW,2026-02-17,0.94,1.03,9.5745
TJX,2026-02-25,1.39,1.43,2.8777
AXP,2026-01-30,3.55,3.53,-0.5634
BLK,2026-01-15,12.19,13.16,7.9573
ETN,2026-02-03,3.32,3.33,0.3012
ISRG,2026-01-22,1.95,2.21,13.3333
GILD,2026-02-10,1.81,1.86,2.7624
GLW,2026-01-28,0.71,0.72,1.4085
UNP,2026-01-27,2.86,3.11,8.7413
SCHW,2026-01-21,1.39,1.39,0.0
UBER,2026-02-04,0.79,0.71,-10.1266
CRM,2026-02-25,3.05,3.81,24.918
PFE,2026-02-03,0.57,0.66,15.7895
MRVL,2026-03-05,0.79,0.8,1.2658
APH,2026-01-28,0.94,0.97,3.1915
WELL,2026-02-10,0.42,0.14,-66.6667
ABT,2026-01-22,1.49,1.5,0.6711
ANET,2026-02-12,0.69,0.75,8.6957
DE,2026-02-19,2.06,2.42,17.4757
PLD,2026-01-21,0.69,1.46,111.5942
BKNG,2026-02-18,1.95,1.95,0.0
COP,2026-02-05,1.09,1.02,-6.422
VRT,2026-02-11,1.3,1.36,4.6154
HON,2026-01-29,2.54,2.59,1.9685
CRWD,2026-03-03,1.1,1.12,1.8182
NEM,2026-02-19,2.11,1.19,-43.6019
